eggNOG	KO
COG0503	K00759
COG1897	K00651
COG3935	K02086
COG2384	K06967
COG1051	K03574
COG1209	K00973
COG1898	K01790
COG1088	K01710
COG1087	K01784
COG1091	K00067
COG1609	K02529
COG0364	K00036
COG3689	K08986
COG0701	K07089
COG1493	K06023
COG0682	K13292
COG0826	K08303
COG0595	K12574
COG0627	K01070
COG3442	K07009
COG0770	K01929
COG1624	K18672
COG0560	K01079
COG1929	K00865
COG1141	K05337
COG0283	K00945
COG0290	K02520
COG0291	K02916
COG0292	K02887
COG0572	K00876
COG0481	K03596
COG0812	K00075
COG1806	K09773
COG3855	K04041
COG1104	K04487
COG0301	K03151
COG0261	K02888
COG2868	K07584
COG0211	K02899
COG3760	K19055
COG0597	K03101
COG0263	K00931
COG0014	K00147
COG0345	K00286
COG2824	K06193
COG0207	K00560
COG0262	K00287
COG1219	K03544
COG0218	K03978
COG1266	K07052
COG0556	K03702
28J34	K01992
COG0105	K00940
COG1660	K06958
COG1481	K09762
COG2065	K02825
COG0540	K00609
COG0505	K01956
COG0458	K01955
COG0335	K02884
COG2026	K06218
2BBJQ	K07473
COG0268	K02968
COG1072	K00867
COG0274	K01619
COG0295	K01489
COG3845	K02056
COG4603	K02057
COG1079	K02057
COG3022	K09861
COG0148	K01689
COG2131	K01493
COG0344	K08591
2DB8K	K05593
COG0539	K02945
COG3764	K07284
COG1250	K00074
COG0164	K03470
COG0758	K04096
COG1206	K04094
COG0095	K03800
COG0541	K03106
COG2739	K09787
COG0518	K01951
COG0112	K00600
COG0009	K07566
COG0216	K02835
COG1942	K01821
COG0534	K03327
COG1477	K03734
COG4587	K01992
COG3694	K01992
COG2972	K07718
COG0785	K06196
COG1114	K03311
COG0358	K02316
COG1970	K03282
COG0828	K02970
COG3142	K06201
2A1RE	K16788
COG1827	K07105
COG1837	K06960
COG0228	K02959
COG0272	K01972
COG1295	K07058
COG0024	K01265
COG0192	K00789
COG0692	K03648
COG0658	K02238
COG1555	K02237
COG0691	K03664
COG1314	K03075
COG1159	K03595
COG0319	K07042
COG0686	K00259
COG1702	K06217
COG0461	K00762
COG0221	K01507
COG0284	K01591
COG0599	K01607
COG0083	K00872
COG0536	K03979
COG4468	K00965
COG0153	K00849
COG0340	K03524
COG2812	K02343
COG1956	K08968
COG0336	K00554
COG0806	K02860
COG0222	K02935
COG0329	K01714
COG0136	K00133
COG1247	K03823
COG1194	K03575
COG0061	K00858
COG2357	K07816
COG0462	K00948
COG2344	K01926
COG2071	K07010
COG2003	K03630
COG0704	K02039
COG1117	K02036
COG0581	K02038
COG0573	K02037
COG0226	K02040
COG0483	K01092
COG0196	K11753
COG0210	K03657
COG0834	K02030
COG0469	K00873
COG0608	K07462
COG1234	K00784
COG1268	K03523
COG0072	K01890
COG0016	K01889
COG0289	K00215
COG3505	K03205
COG0703	K00891
COG0128	K00800
COG0730	K07090
COG0082	K01736
COG0337	K01735
COG0169	K00014
COG0710	K03785
COG1092	K06969
COG0813	K03784
COG0120	K01807
COG0486	K03650
COG0149	K01803
COG0050	K02358
COG1595	K03088
COG2352	K01595
COG3757	K07273
COG2035	K08974
COG1190	K04567
COG1447	K02759
COG0441	K01868
298VG	K19137
COG3512	K09951
COG0618	K06881
COG0254	K02909
COG1125	K05847
COG1174	K05846
COG0322	K03703
COG1080	K08483
COG1925	K11189
COG0695	K03676
COG0209	K00525
COG0208	K00526
COG1476	K07729
COG0204	K00655
COG2827	K07461
COG3775	K02775
COG0698	K01808
COG4108	K02837
COG1181	K01921
COG0353	K06187
COG0588	K01834
COG4606	K02015
COG4605	K02015
COG4604	K02013
COG4607	K02016
COG0497	K03631
COG1189	K06442
COG1722	K03602
COG1570	K03601
COG0190	K01491
COG0370	K04759
COG1918	K04758
COG3641	K07035
COG1242	K07139
COG0219	K03216
COG0759	K08998
COG1386	K06024
COG1354	K05896
COG0127	K02428
COG0796	K01776
COG3763	K09976
COG1254	K01512
COG0706	K03217
COG1559	K07082
COG1160	K03977
COG3611	K03346
COG1327	K07738
COG0250	K02601
COG3759	K08987
COG0498	K01733
COG3010	K01788
COG3575	K09962
COG2255	K03551
COG2017	K01785
COG3412	K05881
COG0015	K01756
COG0041	K01588
COG0151	K01945
COG0138	K00602
COG0299	K11175
COG0150	K01933
COG0034	K00764
COG0046	K01952
COG0152	K01923
COG0416	K03621
COG1381	K03584
COG3883	K21471
COG2891	K03571
COG1792	K03570
COG0634	K00760
COG2367	K17836
COG1197	K03723
COG0193	K01056
COG1475	K03497
COG1576	K00783
COG0180	K01867
COG0516	K00088
COG1195	K03629
COG0546	K01091
COG1760	K01752
COG0482	K00566
COG0359	K02939
COG0305	K02314
COG1511	K01421
COG3966	K03740
COG2094	K03652
COG2807	K03449
COG0267	K02913
COG0333	K02911
COG0124	K01892
COG0173	K01876
COG1640	K00705
COG1780	K03647
COG0018	K01887
COG0632	K03550
COG1058	K03742
COG0468	K03553
COG0816	K07447
COG4464	K01104
COG0343	K00773
COG0051	K02946
COG0088	K02926
COG0090	K02886
COG0093	K02874
COG0199	K02954
COG0098	K02988
COG0200	K02876
COG0563	K00939
COG0099	K02952
COG0202	K03040
COG0203	K02879
COG0264	K02357
COG4463	K03708
COG1281	K04083
COG0104	K01939
COG0166	K01810
COG0594	K03536
COG1847	K06346
COG0230	K02914
COG0084	K03424
COG1162	K06949
COG0036	K01783
COG1564	K00949
COG1322	K09760
COG3481	K03698
COG0048	K02950
COG0480	K02355
COG0057	K00134
COG0533	K01409
COG1210	K00963
COG0756	K01520
COG1066	K04485
COG2171	K00674
COG0212	K01934
COG0162	K01866
COG0085	K03043
COG0126	K00927
COG0174	K01915
COG4537	K02245
COG4940	K02248
COG0282	K00925
COG0449	K00820
COG3037	K03475
COG3623	K03079
COG0021	K00615
COG1862	K03210
COG4589	K00981
COG0750	K11749
COG0442	K01881
2DIR1	K07052
COG0234	K04078
COG0459	K04077
COG1636	K09765
COG2256	K07478
COG2264	K02687
COG1385	K09761
COG1490	K07560
COG1321	K03709
COG0495	K01869
COG0242	K01462
COG1045	K00640
COG0215	K01883
COG1939	K11145
COG0102	K02871
COG0103	K02996
COG3830	K07166
COG2848	K09157
COG1420	K03705
COG0576	K03687
COG0101	K06173
COG0351	K00941
COG0544	K03545
COG3343	K03048
COG0504	K01937
COG0601	K02033
COG1173	K02034
COG1621	K01193
COG1482	K01809
COG0653	K03070
COG0722	K01626
COG0736	K00997
COG1200	K03655
COG0252	K01424
COG4465	K03706
COG1704	K03744
COG0357	K03501
COG2011	K02072
COG1135	K02071
COG1464	K02073
COG0799	K09710
COG1534	K07574
COG2179	K07015
COG0064	K02434
COG0721	K02435
COG0525	K01873
COG2461	K09155
COG0362	K00033
COG2262	K03665
COG3913	K11890
COG3523	K11891
COG1360	K02557
COG3522	K11893
COG3521	K11906
COG3516	K11901
COG3517	K11900
COG3157	K11903
COG3519	K11896
COG3520	K11895
COG3501	K11904
COG2818	K01246
COG3576	K07006
COG1560	K02517
COG1171	K01754
COG3608	K06987
COG2113	K02002
COG2808	K07734
COG1738	K09125
COG0604	K00344
COG0408	K00228
COG3805	K10253
COG0159	K01695
COG0133	K01696
COG3712	K07165
COG3360	K09165
COG0676	K01792
COG3495	K09950
COG0026	K01589
COG1027	K01744
COG4548	K02448
COG3256	K04561
COG0714	K03924
COG4654	K08738
COG4263	K00376
COG1277	K01992
COG4314	K19342
COG1115	K03310
COG2066	K01425
COG0679	K07088
COG3175	K02258
COG1612	K02259
COG0109	K02257
COG1999	K07152
COG1352	K00575
COG2201	K03412
COG4590	K02037
COG1345	K02407
COG1516	K02422
COG3144	K02414
COG1580	K02415
COG1291	K02556
COG1620	K03303
COG2225	K01638
COG1261	K02386
COG1815	K02387
COG1558	K02388
COG1843	K02389
COG1749	K02390
COG4787	K02391
COG4786	K02392
COG2063	K02393
COG1706	K02394
COG1256	K02396
28INI	K13934
COG0840	K03406
COG3450	K06995
COG0727	K06940
COG0787	K01775
COG0606	K07391
COG2960	K09806
COG0004	K03320
COG4973	K03733
COG3159	K09921
COG0253	K01778
COG3072	K05851
COG3675	K01046
COG0165	K01755
COG0181	K01749
COG1587	K01719
COG3071	K02498
COG1495	K03611
COG3160	K07740
COG0672	K07243
COG1671	K09768
COG0113	K01698
COG0855	K00937
COG0248	K01524
COG3194	K01483
COG1158	K03628
COG0043	K03182
COG3027	K09888
2C0ET	K09892
COG3079	K09895
COG0404	K00605
COG0509	K02437
COG2391	K07112
COG1858	K00428
COG2957	K10536
COG1392	K07220
COG3130	K03812
COG2918	K01919
COG1619	K01297
COG1188	K04762
COG1866	K01610
COG3218	K18480
COG1463	K02067
COG1127	K02065
COG0767	K02066
COG3202	K03301
COG0824	K07107
2E4CR	K00126
COG1526	K02379
COG1218	K01082
COG0810	K03832
COG0835	K03408
COG0643	K03407
COG3038	K12262
COG1611	K06966
COG0499	K01251
COG1451	K07043
COG0625	K00799
COG4176	K02001
COG4175	K02000
COG2086	K03521
COG2025	K03522
COG2355	K01273
COG0158	K03841
COG3040	K03098
COG0805	K03118
COG0140	K01523
COG3165	K03690
COG3243	K03821
COG1220	K03667
COG5405	K01419
COG5009	K05366
COG4972	K02662
COG3167	K02664
COG3168	K02665
COG0067	K00265
COG1513	K01725
COG0407	K01599
COG1192	K03496
COG2873	K01740
COG3263	K11105
COG2961	K07115
COG3399	K09943
COG2609	K00163
COG1391	K00982
COG2192	K00612
COG3009	K09857
COG3577	K06985
COG3150	K07000
COG3151	K09920
COG0422	K03147
COG1519	K02527
COG0688	K01613
COG2897	K01011
COG1949	K13288
COG1600	K18979
COG0860	K01448
COG0324	K00791
COG1923	K03666
COG3242	K09937
COG3705	K02502
COG2354	K09781
COG2370	K03192
COG0830	K03188
COG2371	K03187
COG0832	K01429
COG0831	K01430
COG0829	K03190
COG4674	K11962
COG2095	K05595
COG2901	K03557
COG0757	K03786
COG4232	K04084
COG0023	K03113
COG1166	K01585
COG1182	K01118
COG3556	K08983
COG1943	K07491
COG4953	K05367
COG2864	K00127
COG3058	K02380
COG1921	K01042
COG3238	K09936
COG1271	K00425
COG1294	K00426
COG2841	K09794
COG3158	K03549
COG3024	K09862
COG0237	K00859
COG1989	K02654
COG0157	K00767
COG3725	K03807
COG1540	K07160
COG3553	K09956
COG2910	K07118
COG1718	K07178
COG2321	K07054
COG3437	K07814
COG4567	K15012
COG0797	K03642
COG1077	K03569
COG0424	K06287
COG3028	K09889
COG1508	K03092
COG1137	K06861
COG1934	K09774
COG3117	K11719
COG1778	K03270
COG2854	K07323
COG0040	K00765
COG0141	K00013
COG0079	K00817
COG3105	K09908
COG2945	K07018
COG2857	K00413
COG2969	K03600
COG0279	K03271
COG0792	K07460
COG3107	K07121
COG2001	K03925
COG3116	K03586
COG1589	K03589
COG0774	K02535
COG1364	K00620
COG0352	K00788
COG2096	K00798
COG1893	K00077
COG1666	K09767
COG3695	K07443
COG0728	K03980
COG0761	K03527
COG3419	K02674
COG4966	K02672
2BV0S	K06950
COG4105	K05807
COG1496	K05810
COG2981	K06203
2C09I	K19296
2C7PP	K19295
28M8D	K01729
28IPV	K19293
2A2RR	K16081
COG1004	K00012
COG1875	K07175
COG0315	K03637
COG1977	K03636
COG0314	K03635
COG4128	K10954
COG1825	K02897
COG1947	K00919
COG3017	K02494
COG0373	K02492
COG3448	K07168
COG3278	K00404
COG2230	K00574
COG3496	K09701
COG1090	K07071
COG0276	K01772
COG1279	K06895
COG3602	K09964
COG2031	K02106
COG2068	K07141
COG1765	K07397
2CQ1K	K07794
COG3333	K07793
COG0111	K00058
COG2239	K06213
COG3046	K06876
COG5513	K14475
COG0466	K01338
COG1362	K01267
COG0851	K03608
COG2894	K03609
COG0850	K03610
COG1752	K07001
COG1741	K06911
COG2853	K04754
COG1742	K09771
COG3746	K07221
COG3146	K09919
COG1073	K06889
2DN3B	K18093
COG2900	K03745
COG0817	K01159
COG0603	K06920
COG0379	K03517
COG2067	K06076
COG3148	K05812
COG2962	K05786
COG1988	K07038
COG1803	K01734
COG2974	K03554
COG0793	K03797
COG3257	K14977
COG4132	K02054
COG3232	K01826
COG2032	K04565
COG2356	K01150
COG3531	K07396
COG3665	K09967
COG4547	K09883
COG0367	K01953
COG1922	K05946
2AJ2V	K10544
COG3776	K08993
COG2906	K02192
COG0418	K01465
COG0137	K01940
COG4660	K03613
COG4659	K03612
COG4658	K03614
COG2878	K03616
COG4657	K03617
COG0489	K03593
COG0717	K01494
COG0259	K00275
COG3109	K03607
COG3835	K02647
COG2610	K03299
COG3133	K06077
COG2509	K07137
COG3650	K08985
COG3180	K07120
COG0029	K00278
COG3073	K03597
COG3026	K03598
COG3086	K03803
COG0854	K03474
COG4941	K03088
COG3135	K05782
COG3125	K02300
COG1055	K03893
COG2851	K03300
COG3201	K03811
COG3220	K09930
COG3219	K09929
COG0578	K00111
COG3217	K07140
COG5404	K13053
COG1726	K00346
COG1805	K00347
COG2869	K00348
COG1347	K00349
COG2209	K00350
COG2871	K00351
COG2991	K05952
COG4591	K09808
COG3216	K09928
COG1663	K00912
COG2835	K09791
COG1212	K00979
COG1399	K07040
COG3215	K02676
COG2896	K03639
COG3816	K09986
COG3959	K00615
COG3958	K00615
COG3031	K02452
COG3156	K02460
COG3297	K02461
COG3149	K02462
COG3138	K00673
COG3724	K01484
COG2008	K01620
COG1551	K03563
COG3630	K01573
COG1883	K01572
COG3638	K02041
COG3221	K02044
COG3639	K02042
COG3624	K06166
COG3625	K06165
COG3626	K06164
COG3627	K06163
COG4107	K05781
COG4778	K05780
COG3454	K06162
COG3709	K05774
COG4114	K13255
COG0609	K02015
COG0614	K02016
COG3251	K05375
COG1120	K02013
COG3418	K02399
COG2747	K02398
COG1705	K02395
2DVP4	K00604
COG1334	K06603
COG1677	K02408
COG1766	K02409
COG1536	K02410
COG1317	K02411
COG1157	K02412
COG2882	K02413
COG1868	K02416
COG1886	K02417
COG3190	K02418
COG1338	K02419
COG1987	K02420
COG1684	K02421
COG1377	K02401
COG1298	K02400
COG1419	K02404
COG3143	K03414
COG2257	K04061
COG4133	K02193
COG2386	K02194
COG0755	K02195
COG3114	K02196
COG2332	K02197
COG1138	K02198
COG3088	K02200
COG4235	K02200
COG2379	K11529
COG3960	K01608
COG1953	K03457
COG2351	K07127
COG1975	K07402
COG4630	K13481
COG3115	K03528
COG0302	K01495
COG1791	K08967
COG0182	K08963
COG1932	K00831
COG0381	K01791
COG0071	K13993
COG0065	K01703
COG0066	K01704
COG0135	K01817
COG3147	K03749
COG1286	K03558
COG2304	K07114
COG4302	K03736
COG4303	K03735
COG3132	K09915
COG3530	K09954
COG3687	K07044
COG2836	K09792
COG3198	K09926
COG4736	K00407
COG2993	K00405
COG1049	K01682
COG3313	K06938
COG4445	K06169
COG2908	K03269
COG3284	K21405
COG3500	K06905
COG3499	K06906
COG3498	K06908
COG3497	K06907
COG3628	K06903
COG0623	K00208
COG4239	K13895
COG4174	K13894
COG0328	K03469
COG2816	K03426
COG3384	K15777
COG0229	K07305
COG3738	K09974
COG5006	K11939
COG3123	K09913
COG2142	K00242
COG0567	K00164
COG2062	K08296
COG0709	K01008
COG2603	K06917
COG2259	K15977
COG0861	K05794
COG0729	K07278
COG2911	K09800
COG2077	K11065
COG1007	K00343
COG0713	K00340
COG0839	K00339
COG1005	K00337
COG0838	K00330
COG3211	K07093
COG2224	K01637
COG2850	K18850
COG2915	K07153
COG2838	K00031
COG2127	K06891
COG2360	K00684
COG2834	K03634
COG0239	K06199
COG0435	K07393
COG2920	K11179
COG2168	K07237
COG2923	K07236
COG3213	K07234
COG2846	K07322
COG1273	K10979
COG3729	K06884
COG2170	K06048
COG1285	K07507
COG3280	K06044
COG3652	K08995
2BGSE	K07213
COG3667	K07233
COG1201	K03724
COG3813	K09984
COG3200	K01626
COG3214	K09927
COG1251	K00362
COG3271	K06992
COG2909	K03556
2BVW3	K01081
COG2388	K06975
COG4181	K02003
COG3127	K02004
COG5008	K02670
COG3558	K09958
COG4779	K02015
COG3188	K07347
COG2240	K00868
COG2056	K07084
COG0720	K01737
COG1330	K03583
2BQT3	K03563
COG3004	K03313
COG3713	K07274
COG1062	K00121
COG3474	K08738
COG3327	K02616
COG1541	K01912
COG3460	K02610
COG2151	K02612
COG4147	K14393
COG2944	K07726
COG5268	K20529
COG3846	K07344
COG3701	K20531
COG3549	K07334
COG3093	K21498
COG3550	K07154
2E4CK	K06138
COG5424	K06137
COG0176	K00616
COG2607	K06923
COG0386	K00432
COG0425	K04085
COG2933	K06968
COG3324	K06996
COG0613	K07053
COG2350	K09780
COG2114	K01768
COG3526	K07401
COG3318	K07039
COG2832	K09790
COG4579	K00906
COG3825	K09989
COG1770	K01354
COG2983	K09160
COG3100	K09902
COG0368	K02233
COG2038	K00768
COG2087	K02231
COG1492	K02232
COG1270	K02227
COG1797	K02224
COG2109	K19221
COG0303	K03750
COG0746	K03752
COG4568	K19000
COG3122	K09912
COG3187	K03668
COG3508	K00451
COG3185	K00457
COG1054	K07146
COG3184	K09924
COG0114	K01679
COG3317	K07287
COG2716	K03567
COG1225	K03564
COG2902	K15371
COG1033	K07003
COG3139	K09916
COG3782	K09977
COG2358	K07080
COG3089	K09898
COG4459	K02571
COG3062	K02570
COG3043	K02568
COG0655	K03809
COG3249	K09938
COG0232	K01129
COG3171	K09923
COG2027	K07259
COG1546	K03743
COG2518	K00573
COG0496	K03787
COG0585	K06176
COG1211	K00991
COG2877	K01627
COG0763	K00748
COG1043	K00677
COG1044	K02536
COG2825	K06142
COG4775	K07277
COG0743	K00099
COG0575	K00981
COG2844	K00990
COG2166	K02426
COG1179	K22132
COG0837	K00845
COG3103	K07184
COG2301	K01644
COG3283	K03721
COG2154	K01724
COG2764	K04750
COG0800	K01625
COG2977	K02362
COG4574	K08276
COG3967	K14189
COG2943	K03669
COG3131	K03670
COG3141	K09918
COG3048	K01753
COG3224	K09932
COG1539	K01633
COG3492	K09948
COG3554	K09957
COG3128	K07336
COG3489	K07338
COG3490	K09947
COG0433	K06915
COG0788	K01433
COG2925	K01141
COG3487	K07231
COG3784	K09978
COG0278	K07390
COG2193	K03594
COG1214	K14742
COG3789	K09980
COG0027	K08289
COG4623	K18691
COG1520	K17713
COG0821	K03526
COG1426	K15539
COG3063	K02656
COG0342	K03072
COG0260	K01255
COG2927	K02339
COG1757	K03315
COG2703	K07216
COG3081	K06899
COG1183	K17103
COG4597	K09970
COG2346	K06886
COG1017	K05916
COG2995	K03808
COG2717	K17247
COG0059	K00053
COG0440	K01653
COG0645	K07028
COG4559	K02013
COG4558	K02016
COG3720	K07225
COG1489	K06206
COG1734	K06204
COG0801	K00950
COG0413	K00606
COG0414	K01918
COG2823	K04065
COG0184	K02956
COG0294	K00796
COG2914	K09801
COG3056	K07286
COG3045	K05805
COG0748	K07226
COG3030	K07113
COG0288	K01673
COG2847	K09796
COG1946	K10805
COG0001	K01845
COG4535	K06189
COG0815	K03820
COG2980	K03643
COG3036	K09890
COG2951	K08305
COG0320	K03644
COG0321	K03801
COG2921	K09158
COG2802	K07157
COG0163	K03186
COG3228	K09933
COG4829	K03464
28V8Y	K15228
COG1154	K01662
COG1267	K01095
COG0611	K00946
COG0054	K00794
COG0307	K00793
COG0117	K11752
COG3047	K07275
COG0376	K03782
COG0257	K02919
COG0690	K03073
COG1521	K03525
COG2377	K09001
COG0002	K00145
COG1981	K08973
COG2941	K06134
COG0134	K01609
COG0547	K00766
COG3178	K07102
COG1452	K04744
COG2766	K07180
COG2718	K09786
COG2987	K01712
COG1228	K01468
COG3758	K09975
COG0132	K01935
COG2005	K02019
COG2905	K07182
COG4452	K06143
COG4583	K00305
COG4311	K00304
COG3852	K07708
COG3416	K09945
COG2805	K02669
COG1872	K09131
COG2021	K00641
COG2022	K03149
COG2104	K03154
COG0552	K03110
COG1871	K03411
COG3605	K08484
COG3422	K09946
COG1952	K03071
COG0107	K02500
COG0106	K01814
COG0118	K02501
COG1585	K07340
COG4208	K02047
COG4150	K02048
COG2156	K01548
COG2216	K01547
COG2060	K01546
COG2059	K07240
COG0725	K02020
COG4149	K02018
COG4148	K02017
COG3545	K07002
COG1613	K02048
COG3296	K09940
COG3161	K03181
2C59R	K02399
2DFIE	K02398
COG3288	K00324
COG1764	K04063
COG3529	K07070
COG4531	K09815
COG3565	K06991
COG2153	K02348
COG2099	K05895
COG2082	K06042
COG2875	K05936
COG3312	K02116
COG3538	K09704
COG3655	K07727
COG2326	K22468
2C3A2	K16937
COG5013	K00370
COG1140	K00371
COG2180	K00373
COG2181	K00374
COG4326	K06377
2C4IS	K20483
COG4403	K20484
COG3345	K07407
COG3340	K05995
COG3669	K01206
COG3254	K03534
COG3828	K09992
COG3533	K09955
COG0753	K03781
2DRA3	K02911
COG2039	K01304
COG2382	K07214
COG3525	K12373
COG1038	K01958
COG2730	K01179
COG3957	K01621
COG3693	K01181
COG2018	K07131
COG1545	K07068
COG4952	K01820
COG1139	K18929
COG1556	K00782
COG1725	K07979
COG3540	K01113
COG2409	K06994
COG1661	K06934
COG3572	K01919
28HIR	K00241
COG0383	K01191
COG2085	K06988
COG0853	K01579
2EMMT	K08982
COG1735	K07048
293R6	K07794
COG2115	K01805
COG3361	K09166
COG3564	K09959
COG1832	K06929
COG0747	K02035
COG3467	K07005
COG1259	K08999
COG2190	K02777
COG2173	K08641
COG2270	K06902
COG3325	K01183
COG0311	K08681
COG0214	K06215
COG3809	K09981
2E9C2	K13570
COG2519	K07442
COG3265	K00851
COG2149	K00389
COG3358	K09164
COG4401	K06208
COG3541	K07074
COG2508	K09684
COG1881	K06910
COG3506	K09702
COG4677	K01051
COG3866	K01728
COG2746	K00662
2C7TJ	K16163
COG0387	K07300
COG1573	K21929
COG2968	K09807
COG0648	K01151
COG1647	K03928
COG0003	K01551
COG1022	K01897
COG1842	K03969
COG4115	K19158
COG2822	K07224
COG1579	K07164
COG2899	K09799
COG2130	K07119
2CB9G	K18481
2EPMA	K18481
2DVJA	K18481
COG3534	K01209
COG4262	K00797
COG0423	K01880
COG1869	K06726
COG3473	K01799
COG4412	K09607
COG1732	K05845
2CC1Y	K18955
COG0391	K11212
COG1507	K09009
COG1398	K00507
COG1085	K00965
COG3583	K21688
COG1928	K00728
COG0310	K02007
COG1099	K07051
COG1260	K01858
2B532	K02078
COG1690	K14415
COG1384	K04566
COG1623	K07067
COG1246	K00619
COG3402	K09167
COG3428	K08981
COG3222	K09931
COG4965	K12510
COG3640	K07321
COG1610	K09117
COG3559	K01992
COG3844	K01556
COG3483	K00453
COG0798	K03325
COG0675	K07496
COG3793	K05793
2B14E	K05337
COG1023	K00033
COG1950	K08972
COG4987	K16012
COG3542	K09705
COG1828	K01952
COG0047	K01952
COG1937	K21600
COG1787	K07448
COG0412	K01061
COG1329	K07736
COG3570	K04343
COG0380	K00697
COG2103	K07106
COG2107	K11785
COG1514	K01975
2BWH2	K01992
COG4257	K18235
COG1333	K07399
COG1427	K11782
2F13Q	K16647
COG1408	K07098
COG1331	K06888
COG1656	K09122
COG3653	K06015
COG3745	K02279
COG1430	K09005
2C28Q	K14627
COG2867	K18588
2DMIS	K18958
COG1615	K09118
2CC1N	K10156
COG3920	K00936
2DMIE	K18955
293MU	K00518
COG0641	K06871
COG3285	K01971
2BJAR	K02116
COG1637	K07503
COG3281	K16146
COG1920	K14941
COG3378	K06919
COG4143	K02064
COG3607	K07032
COG4209	K17319
COG3393	K06976
COG1550	K09764
COG1351	K03465
COG4573	K16371
COG2091	K06133
COG1930	K02009
COG1232	K00231
COG2895	K00956
COG2040	K00547
COG2839	K09793
COG3648	K00365
2DWZJ	K22463
COG1891	K09733
COG2362	K16203
COG4409	K01186
COG1402	K01470
COG3511	K01114
COG1443	K01823
COG0270	K00558
COG1547	K09763
COG3962	K03336
COG3718	K03337
COG1993	K09137
COG3458	K01060
COG3573	K07077
COG0033	K01835
COG2045	K05979
COG1755	K16168
COG1021	K02363
COG4247	K01083
COG5352	K13583
COG4240	K15918
COG1899	K00809
COG2992	K03796
COG0819	K03707
COG2917	K06190
COG3785	K11940
COG3788	K07136
COG3346	K14998
2DNQW	K21817
COG5336	K02116
COG3660	K07276
2CG84	K15737
COG2079	K01720
2EQV8	K07794
COG3651	K09966
COG0519	K01951
COG3476	K05770
COG3494	K09949
COG5000	K13598
COG1133	K17938
COG0421	K00797
COG3223	K13256
COG1692	K09769
COG3588	K01623
COG3820	K09987
COG5590	K18587
COG0409	K04654
COG0298	K04653
COG2952	K09804
COG3054	K07109
COG3018	K09860
COG3417	K07337
COG0375	K04651
COG3587	K01156
COG1699	K13626
2AV6Z	K01155
COG2231	K07457
COG1817	K09726
COG2121	K09778
COG3736	K03203
COG1089	K01711
COG3306	K07270
COG3400	K09944
COG0630	K03196
COG1966	K06200
2EGJJ	K15846
29WBZ	K18480
COG0732	K01154
COG1373	K07133
COG4268	K19147
COG1969	K03620
COG0374	K06281
COG1740	K06282
29DTM	K22112
COG0309	K04655
COG0068	K04656
COG3298	K07501
2EG85	K20151
COG1040	K02242
COG2404	K07097
COG0738	K02429
COG3392	K07318
COG0786	K03312
