,bin_names,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,mOTU,gtdbtk_classif_r207,percent_completion
11,SRR5976594.23,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_179,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp017856985,97.1830985915493
12,ERR3589563.9,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_779,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA11791;s__UBA11791 sp012960345,76.05633802816901
13,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-304,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,84.50704225352112
14,bulkbins-MOSAIC-MIME-BINNING-1003_bin-003,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_512,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,59.15492957746479
15,bulkbins-MOSAIC-MIME-BINNING-25_bin-73,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_024,,98.59154929577464
16,bulkbins-MOSAIC-MIME-BINNING-1603_bin-034,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,59.15492957746479
17,bulkbins-ODIN-2013-BINNING-13_bin-38,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,COMPLETE-SET-AND-BULK_mOTU_038,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,95.77464788732394
18,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-235,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,COMPLETE-SET-AND-BULK_mOTU_758,,100.0
19,bulkbins-MOSAIC-MIME-BINNING-3003_bin-57,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,97.1830985915493
20,bulkbins-MOSAIC-MIME-BINNING-3303_bin-47,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_328,,1e-05
21,bulkbins-MOSAIC-MIME-BINNING-2403_bin-049,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp018665025,71.83098591549296
22,ERR3589572.70,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,74.64788732394365
23,bulkbins-ODEN-2013-BINNING-medium-13_bin-1409,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,98.59154929577464
24,SRR13153459.28,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
25,SRR9019759.91,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_538,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SP197;f__SP197;g__SP197;s__,76.05633802816901
26,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-391,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_535,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA10347;g__UBA10347;s__,73.23943661971829
27,SRR5976591.33,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_179,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp017856985,59.15492957746479
28,bulkbins-MOSAIC-MIME-BINNING-45_bin-37,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_226,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;s__,90.14084507042251
29,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-720,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp018665025,64.78873239436619
30,bulkbins-ODEN-2013-BINNING-COASS_bin-5480,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,84.50704225352112
31,bulkbins-MOSAIC-MIME-BINNING-2303_bin-104,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_656,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Celeribacter;s__Celeribacter baekdonensis_A,1e-05
32,SRR9019762.102,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_673,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__,100.0
33,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-068,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_265,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345;s__GCA-2697345 sp905181985,90.14084507042251
34,ERR4918858.108,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_179,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp017856985,56.338028169014095
35,bulkbins-MOSAIC-MIME-BINNING-3103_bin-51,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp018665025,1e-05
36,MOSAIC-MIME-BINNING-2503_bin-060,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_174,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus_A;s__,92.95774647887325
37,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-480,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,53.52112676056338
38,bulkbins-MOSAIC-MIME-BINNING-803_bin-26,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,87.32394366197181
39,ERR594302.84,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_653,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;s__UBA11650 sp002708395,80.28169014084506
40,bulkbins-MOSAIC-MIME-BINNING-1503_bin-076,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_512,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,77.46478873239437
41,MOSAIC-MIME-BINNING-2803_bin-134,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_089,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__UBA6615;s__,1e-05
42,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-429,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_352,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70;s__,94.3661971830986
43,SRR3233383.64,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
44,bulkbins-ODEN-2013-BINNING-medium-13_bin-3029,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_265,,1e-05
45,ERR598947.26,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,74.64788732394365
46,bulkbins-MOSAIC-MIME-BINNING-2803_bin-055,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,50.70422535211269
47,SRR10912888.6,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,29.5774647887324
48,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-138,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_656,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Celeribacter;s__Celeribacter baekdonensis_A,85.91549295774648
49,SRR5262292.93,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,59.15492957746479
50,SRR10912888.16,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_292,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp002331465,92.95774647887325
51,bulkbins-MOSAIC-MIME-BINNING-1303_bin-070,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_024,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SP4260;s__SP4260 sp905182415,84.50704225352112
52,SRR13153511.8,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_163,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,61.971830985915496
53,SRR10912861.7,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_292,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp002331465,43.66197183098591
54,bulkbins-MOSAIC-MIME-BINNING-1103_bin-86,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,95.77464788732394
55,bulkbins-MOSAIC-MIME-BINNING-603_bin-091,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,66.19718309859155
56,bulkbins-MOSAIC-MIME-BINNING-1203_bin-091,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,73.23943661971829
57,bulkbins-MOSAIC-MIME-BINNING-1103_bin-14,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,92.95774647887325
58,bulkbins-ODEN-2013-BINNING-all-COASS_bin-06585,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,COMPLETE-SET-AND-BULK_mOTU_606,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__BACL14;s__BACL14 sp905182075,74.64788732394365
59,SRR5819607.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,45.07042253521126
60,SRR11625154.31,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,77.46478873239437
61,ERR5006649.5,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,33.80281690140845
62,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-688,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_656,,1e-05
63,bulkbins-MOSAIC-MIME-BINNING-1803_bin-47,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,92.95774647887325
64,bulkbins-MOSAIC-MIME-BINNING-803_bin-43,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,90.14084507042251
65,bulkbins-MOSAIC-MIME-BINNING-1703_bin-097,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_328,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__GCA-002724395;s__,64.78873239436619
66,SRR9019763.15,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
67,MOSAIC-MIME-BINNING-2503_bin-056,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_033,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__,85.91549295774648
68,bulkbins-MOSAIC-MIME-BINNING-1603_bin-004,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_335,,97.1830985915493
69,SRR5819383.140,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_278,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__Casp-Chloro-G4;s__,95.77464788732394
70,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-323,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_024,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SP4260;s__SP4260 sp905182415,91.54929577464787
71,MOSAIC-MIME-BINNING-803_bin-79,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_278,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__Casp-Chloro-G4;s__,61.971830985915496
72,bulkbins-MOSAIC-MIME-BINNING-2703_bin-84,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,32.394366197183096
73,SRR9039929.114,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,85.91549295774648
74,ERR3589574.22,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,42.25352112676056
75,SRR9019640.97,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_172,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp012960315,77.46478873239437
76,bulkbins-ODEN-2013-BINNING-all-COASS_bin-06665,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_416,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__,80.28169014084506
77,bulkbins-MOSAIC-MIME-BINNING-3003_bin-21,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,98.59154929577464
78,bulkbins-ODEN-2013-BINNING-medium-13_bin-1517,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,COMPLETE-SET-AND-BULK_mOTU_038,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,100.0
79,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-466,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_656,,1e-05
80,bulkbins-MOSAIC-MIME-BINNING-25_bin-51,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,COMPLETE-SET-AND-BULK_mOTU_038,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,98.59154929577464
81,ERR599166.108,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,76.05633802816901
82,bulkbins-MOSAIC-MIME-BINNING-2403_bin-103,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_512,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,97.1830985915493
83,bulkbins-ODEN-2013-BINNING-all-COASS_bin-05195,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,84.50704225352112
84,SRR5819239.131,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_278,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__Casp-Chloro-G4;s__,92.95774647887325
85,bulkbins-MOSAIC-MIME-BINNING-25_bin-72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_038,,1e-05
86,bulkbins-MOSAIC-MIME-BINNING-2803_bin-097,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,88.73239436619718
87,SRR9020461.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_097,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__;s__,40.84507042253521
88,bulkbins-MOSAIC-MIME-BINNING-1503_bin-127,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,74.64788732394365
89,bulkbins-MOSAIC-MIME-BINNING-2403_bin-016,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_146,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__,77.46478873239437
90,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-320,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_732,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__Casp-Chloro-G4;s__,95.77464788732394
