mOTU,K00024,K00031,K00169,K00170,K00171,K00172,K00174,K00175,K00176,K00177,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01006,K01007,K01595,K01676,K01677,K01678,K01679,K01681,K01682,K01902,K01903,K01958,K01959,K01960,K03737,K15230,K15231,K15232,K15234,K18556,K18557,K18560,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_379,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,91.54929577464787,91.54929577464787
COMPLETE-SET-AND-BULK_mOTU_381,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.09210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,76,13.472951210155651,100.0
COMPLETE-SET-AND-BULK_mOTU_392,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,89.78873239436619,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_400,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,72.53521126760563,78.8732394366197
COMPLETE-SET-AND-BULK_mOTU_408,0.8571428571428571,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7857142857142857,0.0,0.0,0.0,1.0,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,71.93159025150904,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_416,0.0,0.12,0.16,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,25,15.774655887323922,100.0
COMPLETE-SET-AND-BULK_mOTU_483,0.25,0.5,0.25,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.75,0.25,0.75,0.75,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.75,0.0,0.25,0.5,0.75,0.75,0.25,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,4,40.14085007042254,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_487,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_499,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5,23.943667971830983,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_511,0.8888888888888888,0.8888888888888888,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,83.09859154929575,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_519,0.3333333333333333,0.4166666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,12,55.516433591549294,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_603,0.0,0.55,0.575,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.1,0.025,0.55,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.025,0.55,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,40,46.971835235915485,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_606,0.0,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.04,0.08,0.2,0.08,0.0,0.04,0.16,0.0,0.0,0.0,0.04,0.04,0.08,0.0,0.04,0.0,0.08,0.16,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,25,22.535218467605624,100.0
COMPLETE-SET-AND-BULK_mOTU_611,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,4,24.295782147887326,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_616,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,26.408455704225354,84.50704225352112
COMPLETE-SET-AND-BULK_mOTU_642,0.5294117647058824,0.6470588235294118,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.5882352941176471,0.0,0.47058823529411764,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.5294117647058824,0.5294117647058824,0.0,0.6470588235294118,0.058823529411764705,0.0,0.47058823529411764,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,17,78.7903893951947,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_645,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,54.46009723004695,91.54929577464787
COMPLETE-SET-AND-BULK_mOTU_710,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,72.53521293427228,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_712,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,98.59154929577466,100.0
COMPLETE-SET-AND-BULK_mOTU_723,0.14285714285714285,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,7,75.85513221327967,100.0
COMPLETE-SET-AND-BULK_mOTU_740,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,93.6619718309859,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_742,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,95.77464788732394,100.0
COMPLETE-SET-AND-BULK_mOTU_758,0.08,0.52,0.04,0.0,0.04,0.04,0.04,0.0,0.48,0.04,0.28,0.04,0.32,0.56,0.56,0.56,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.56,0.56,0.12,0.0,0.0,0.0,0.0,0.4,0.56,0.0,0.0,25,50.87324383661971,100.0
COMPLETE-SET-AND-BULK_mOTU_788,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,93.89671361502347,100.0
COMPLETE-SET-AND-BULK_mOTU_804,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,88.73239436619718,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_824,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,73.23943661971829,73.23943661971829
COMPLETE-SET-AND-BULK_mOTU_829,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,50.000005,100.0
COMPLETE-SET-AND-BULK_mOTU_840,0.8333333333333334,1.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.5,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,80.51643359154929,100.0
COMPLETE-SET-AND-BULK_mOTU_877,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.6153846153846154,0.0,0.0,0.07692307692307693,0.6153846153846154,0.5384615384615384,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,0.6153846153846154,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,13,44.09534512459371,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_908,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,3,33.33334,100.0
