mOTU,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,M00374
COMPLETE-SET-AND-BULK_mOTU_416,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.038461538461538464
COMPLETE-SET-AND-BULK_mOTU_426,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.09615384615384616
COMPLETE-SET-AND-BULK_mOTU_448,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_452,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_453,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0.15384615384615385
COMPLETE-SET-AND-BULK_mOTU_483,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0.23076923076923078
COMPLETE-SET-AND-BULK_mOTU_487,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_499,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_519,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_627,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0.09615384615384616
COMPLETE-SET-AND-BULK_mOTU_710,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_723,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0.17307692307692307
COMPLETE-SET-AND-BULK_mOTU_740,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0.11538461538461539
COMPLETE-SET-AND-BULK_mOTU_758,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.28846153846153844
COMPLETE-SET-AND-BULK_mOTU_788,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.23076923076923078
COMPLETE-SET-AND-BULK_mOTU_795,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.07692307692307693
COMPLETE-SET-AND-BULK_mOTU_798,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_834,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.11538461538461539
COMPLETE-SET-AND-BULK_mOTU_840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3076923076923077
COMPLETE-SET-AND-BULK_mOTU_854,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0.1346153846153846
COMPLETE-SET-AND-BULK_mOTU_866,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.21153846153846154
COMPLETE-SET-AND-BULK_mOTU_867,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0.15384615384615385
COMPLETE-SET-AND-BULK_mOTU_876,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0.11538461538461539
COMPLETE-SET-AND-BULK_mOTU_908,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0.17307692307692307
