mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,M00375
COMPLETE-SET-AND-BULK_mOTU_397,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_402,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_407,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_414,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_416,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_419,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_422,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_426,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_448,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_453,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_469,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_475,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_483,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_508,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_512,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_535,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_538,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_542,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_551,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_556,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_606,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_610,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_624,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_627,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_644,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_653,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_656,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_668,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_669,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_673,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_686,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_710,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_717,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_719,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_723,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_724,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_732,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_733,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_735,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_738,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_741,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_758,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_761,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_770,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_779,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_782,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_784,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_788,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_795,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_798,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0.0
COMPLETE-SET-AND-BULK_mOTU_809,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_815,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_816,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_834,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_835,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_840,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_867,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_875,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0.0
COMPLETE-SET-AND-BULK_mOTU_882,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0
COMPLETE-SET-AND-BULK_mOTU_891,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0.0
COMPLETE-SET-AND-BULK_mOTU_902,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0.0
