,M00173,M00376,M00375,M00374,M00377,M00579,M00620
COMPLETE-SET-AND-BULK_mOTU_414,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_416,0.05555555555555555,0.0,0.0,0.07692307692307693,0.0,0.0,0.14285714285714285
COMPLETE-SET-AND-BULK_mOTU_419,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_422,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_426,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_448,0.42592592592592593,0.0,0.0,0.23076923076923078,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_453,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_469,0.28703703703703703,0.0,0.0,0.17307692307692307,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_475,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_483,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.7857142857142857
COMPLETE-SET-AND-BULK_mOTU_508,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_512,0.28703703703703703,0.0,0.0,0.25,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_535,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_538,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_542,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_551,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_556,0.3425925925925926,0.0,0.0,0.17307692307692307,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_606,0.28703703703703703,0.0,0.0,0.1346153846153846,0.0,0.0,0.42857142857142855
COMPLETE-SET-AND-BULK_mOTU_610,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_624,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_627,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_644,0.2592592592592593,0.0,0.0,0.19230769230769232,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_653,0.2314814814814815,0.0,0.0,0.21153846153846154,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_656,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_668,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_669,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_673,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_686,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.75
COMPLETE-SET-AND-BULK_mOTU_710,0.12037037037037036,0.0,0.0,0.09615384615384616,0.0,0.0,0.17857142857142858
COMPLETE-SET-AND-BULK_mOTU_717,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_719,0.2314814814814815,0.0,0.0,0.17307692307692307,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_723,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_724,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_732,0.2314814814814815,0.0,0.0,0.17307692307692307,0.0,0.0,0.5
COMPLETE-SET-AND-BULK_mOTU_733,0.3703703703703704,0.0,0.0,0.19230769230769232,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_735,0.3703703703703704,0.0,0.0,0.23076923076923078,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_738,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_741,0.39814814814814814,0.0,0.0,0.21153846153846154,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_758,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.8214285714285714
COMPLETE-SET-AND-BULK_mOTU_761,0.28703703703703703,0.0,0.0,0.17307692307692307,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_770,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_779,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_782,0.3703703703703704,0.0,0.0,0.19230769230769232,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_784,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_788,0.39814814814814814,0.0,0.0,0.25,0.0,0.0,0.7857142857142857
COMPLETE-SET-AND-BULK_mOTU_795,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_798,0.2592592592592593,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_809,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_815,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_816,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_834,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_835,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_840,0.39814814814814814,0.0,0.0,0.25,0.0,0.0,0.7857142857142857
COMPLETE-SET-AND-BULK_mOTU_867,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_875,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_882,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_891,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_902,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6785714285714286
