,bin_names,K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,K14468,K14471,K14472,K15052,M00376,mOTU,gtdbtk_classif_r207,mOTUpan_completeness
32,MOSAIC-MIME-BINNING-2603_bin-074,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,99.9
33,MOSAIC-MIME-BINNING-2703_bin-15,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,99.9
34,MOSAIC-MIME-BINNING-2703_bin-20,0,0,0,0,3,2,0,1,2,2,8,55,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.49186991869918
37,MOSAIC-MIME-BINNING-2803_bin-031,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,98.14814814814817
39,MOSAIC-MIME-BINNING-2803_bin-094,0,0,0,0,3,2,0,1,2,2,1,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.39024390243902
41,MOSAIC-MIME-BINNING-2903_bin-079,0,0,0,2,0,2,2,9,0,0,9,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,99.9
43,MOSAIC-MIME-BINNING-3303_bin-29,0,0,0,0,3,2,0,1,2,2,8,41,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,88.10975609756098
46,MOSAIC-MIME-BINNING-803_bin-66,0,0,0,2,0,2,2,12,0,0,12,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,99.9
47,MOSAIC-MIME-BINNING-ClusterAss-1_bin-067,0,0,0,2,0,2,2,12,0,0,12,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,99.9
54,MOSAIC-MIME-BINNING-ClusterAss-1_bin-916,3,0,0,1,0,0,1,4,0,0,7,3,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_519,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia sp003061515,99.9
63,MOSAIC-MIME-BINNING-ClusterAss-2_bin-804,0,0,0,2,0,2,2,12,0,0,12,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,99.9
67,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-159,3,0,0,1,0,0,1,4,0,0,7,3,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_519,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia sp003061515,99.9
70,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-279,0,0,0,0,3,2,0,1,2,2,1,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.9
73,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-711,0,0,0,2,0,2,2,12,0,0,12,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,99.9
74,MOSAIC-MIME-BINNING-ClusterAss-3b_bin-283,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,98.78048780487804
103,SRR5819594.35,0,0,0,0,3,2,0,1,2,2,8,61,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,96.54471544715447
104,SRR5819595.20,0,0,0,2,3,0,0,3,0,0,0,1,0,0,0,1,0.33,COMPLETE-SET-AND-BULK_mOTU_117,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__,98.57549857549856
105,SRR7155205.31,0,0,0,2,0,2,2,8,0,0,2,1,0,0,0,1,0.35,COMPLETE-SET-AND-BULK_mOTU_016,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Zhongshania;s__Zhongshania aliphaticivorans,96.08416130917593
107,SRR9019638.40,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.6951219512195
109,SRR9019640.115,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.89837398373984
110,SRR9019726.18,0,0,0,0,3,2,0,1,2,2,8,53,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,91.76829268292684
114,SRR9019745.33,0,0,0,0,3,2,0,1,2,2,8,55,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,98.98373983739836
117,SRR9019762.12,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,99.6951219512195
122,SRR9020461.47,0,0,0,0,3,2,0,1,2,2,8,62,0,0,0,1,0.31,COMPLETE-SET-AND-BULK_mOTU_304,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,95.630081300813
155,bulkbins-MOSAIC-MIME-BINNING-2103_bin-046,1,0,1,0,3,5,5,12,0,0,10,19,0,0,0,2,0.32,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,99.89106753812636
174,bulkbins-MOSAIC-MIME-BINNING-2403_bin-047,1,0,1,0,3,5,5,19,0,0,14,3,0,0,0,2,0.32,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,99.01960784313724
200,bulkbins-MOSAIC-MIME-BINNING-31_bin-055,1,0,1,0,3,5,5,3,0,0,0,2,0,0,0,1,0.3,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,87.69063180827887
202,bulkbins-MOSAIC-MIME-BINNING-31_bin-062,3,0,3,0,1,0,1,0,1,0,1,7,0,0,0,1,0.32,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,90.18952062430324
204,bulkbins-MOSAIC-MIME-BINNING-3203_bin-07,0,0,3,0,1,3,4,21,1,0,12,5,0,0,0,3,0.31,COMPLETE-SET-AND-BULK_mOTU_815,,99.9
206,bulkbins-MOSAIC-MIME-BINNING-3303_bin-23,3,0,0,2,0,2,2,7,0,0,3,15,0,4,4,0,0.37,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,97.89875835721108
207,bulkbins-MOSAIC-MIME-BINNING-3303_bin-38,30,9,13,7,10,8,5,21,2,5,5,31,0,0,0,10,0.46,COMPLETE-SET-AND-BULK_mOTU_335,,99.9
238,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-353,3,0,0,2,0,2,3,0,0,0,3,29,0,2,2,0,0.35,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,88.44317096466094
242,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-426,17,0,15,2,0,0,1,22,0,1,24,4,0,0,0,0,0.3,COMPLETE-SET-AND-BULK_mOTU_606,,12.751212751212751
271,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-618,2,0,3,0,9,6,6,18,1,0,15,24,0,7,7,3,0.42,COMPLETE-SET-AND-BULK_mOTU_253,,96.40522875816994
303,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-235,94,21,109,34,31,26,8,126,13,36,67,126,0,0,0,24,0.46,COMPLETE-SET-AND-BULK_mOTU_758,,99.9
304,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-252,10,0,1,3,8,17,18,45,0,1,25,78,0,14,14,1,0.49,COMPLETE-SET-AND-BULK_mOTU_043,,99.9
309,bulkbins-ODEN-2013-BINNING-COASS_bin-8486,3,3,15,3,0,0,0,19,2,13,2,1,0,0,0,0,0.31,COMPLETE-SET-AND-BULK_mOTU_627,,94.48924731182797
