,bin_names,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,mOTU,gtdbtk_classif_r207,percent_completion
10,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-258,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_908,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia sp003061515,100.0
11,SRR9039929.145,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_876,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Lacipirellulaceae;g__;s__,92.95774647887325
12,SRR9019762.121,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_121,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Tepidiformales;f__Tepidiformaceae;g__;s__,87.32394366197181
13,bulkbins-MOSAIC-MIME-BINNING-803_bin-26,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,87.32394366197181
14,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-429,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_352,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70;s__,94.3661971830986
15,SRR3233383.64,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
16,ERR598947.26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,74.64788732394365
17,bulkbins-MOSAIC-MIME-BINNING-2803_bin-055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,50.70422535211269
18,bulkbins-ODEN-2013-BINNING-medium-13_bin-0643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_253,,1e-05
19,bulkbins-ODEN-2013-BINNING-all-COASS_bin-03317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_250,,1e-05
20,bulkbins-MOSAIC-MIME-BINNING-1103_bin-86,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,95.77464788732394
21,bulkbins-MOSAIC-MIME-BINNING-1103_bin-14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,92.95774647887325
22,SRR11625154.31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,77.46478873239437
23,bulkbins-MOSAIC-MIME-BINNING-1803_bin-47,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_798,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,92.95774647887325
24,bulkbins-MOSAIC-MIME-BINNING-803_bin-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,90.14084507042251
25,SRR9019763.15,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,97.1830985915493
26,bulkbins-MOSAIC-MIME-BINNING-1603_bin-004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,,97.1830985915493
27,ERR3589574.22,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,42.25352112676056
28,bulkbins-ODEN-2013-BINNING-all-COASS_bin-06665,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_416,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__,80.28169014084506
29,bulkbins-ODEN-2013-BINNING-all-COASS_bin-05195,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,84.50704225352112
30,ERR599159.51,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_057,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,71.83098591549296
31,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-351,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_250,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,67.6056338028169
32,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-390,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_043,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp905182825,94.3661971830986
33,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_364,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus,87.32394366197181
34,bulkbins-MOSAIC-MIME-BINNING-3003_bin-37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_381,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,85.91549295774648
35,SRR10912825.25,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_448,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Marortus;s__Marortus luteolus,64.78873239436619
36,ERR4691668.24,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,70.4225352112676
37,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_364,,1e-05
38,bulkbins-MOSAIC-MIME-BINNING-1003_bin-052,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_043,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp905182825,76.05633802816901
39,bulkbins-MOSAIC-MIME-BINNING-17_bin-36,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_043,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp905182825,49.29577464788731
40,bulkbins-MOSAIC-MIME-BINNING-2003_bin-095,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,91.54929577464787
41,bulkbins-MOSAIC-MIME-BINNING-2003_bin-037,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,66.19718309859155
42,SRR5429424.20,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,57.74647887323944
43,bulkbins-MOSAIC-MIME-BINNING-903_bin-089,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,90.14084507042251
44,bulkbins-MOSAIC-MIME-BINNING-1203_bin-083,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,91.54929577464787
45,SRR5819552.76,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,50.70422535211269
46,bulkbins-MOSAIC-MIME-BINNING-1503_bin-091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,83.09859154929578
47,ERR599166.46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,70.4225352112676
48,bulkbins-MOSAIC-MIME-BINNING-2603_bin-076,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,95.77464788732394
49,bulkbins-MOSAIC-MIME-BINNING-1503_bin-020,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_758,,100.0
50,bulkbins-MOSAIC-MIME-BINNING-2703_bin-39,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,98.59154929577464
51,MOSAIC-MIME-BINNING-ClusterAss-1_bin-069,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,COMPLETE-SET-AND-BULK_mOTU_319,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__CADEGL01;g__JABIRQ01;s__,21.12676056338028
52,SRR9019729.58,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,100.0
53,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_364,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus,95.77464788732394
54,bulkbins-MOSAIC-MIME-BINNING-3403_bin-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,84.50704225352112
55,bulkbins-MOSAIC-MIME-BINNING-2503_bin-143,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_710,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__UBA11869 sp014239225,95.77464788732394
56,bulkbins-MOSAIC-MIME-BINNING-3103_bin-49,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_250,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,1e-05
57,MOSAIC-MIME-BINNING-903_bin-016,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,95.77464788732394
58,ERR599125.16,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_452,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002731775,95.77464788732394
59,MOSAIC-MIME-BINNING-703_bin-094,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,64.78873239436619
60,bulkbins-MOSAIC-MIME-BINNING-31_bin-068,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,74.64788732394365
61,ERR4918854.58,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,100.0
62,bulkbins-MOSAIC-MIME-BINNING-31_bin-084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_758,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__MED-G09;g__MED-G09;s__MED-G09 sp905182015,91.54929577464787
63,bulkbins-MOSAIC-MIME-BINNING-3103_bin-57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,92.95774647887325
64,bulkbins-MOSAIC-MIME-BINNING-2603_bin-021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_627,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__SYDM01;s__,97.1830985915493
65,ERR4918861.59,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,52.11267605633803
66,bulkbins-MOSAIC-MIME-BINNING-703_bin-105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,61.971830985915496
67,bulkbins-ODEN-2013-BINNING-all-COASS_bin-05514,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_627,,98.59154929577464
68,ODEN-2013-BINNING-medium-COASS_bin-4792,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,70.4225352112676
69,bulkbins-MOSAIC-MIME-BINNING-2503_bin-085,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_416,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__,70.4225352112676
70,SRR9019729.136,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_319,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__CADEGL01;g__JABIRQ01;s__,63.38028169014085
71,ERR3589559.100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,45.07042253521126
72,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-030,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_758,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__MED-G09;g__MED-G09;s__MED-G09 sp905182015,100.0
73,SRR9020461.94,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,COMPLETE-SET-AND-BULK_mOTU_319,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__CADEGL01;g__JABIRQ01;s__,35.2112676056338
74,bulkbins-MOSAIC-MIME-BINNING-1003_bin-066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_381,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,80.28169014084506
75,bulkbins-MOSAIC-MIME-BINNING-25_bin-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,76.05633802816901
76,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-559,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_074,d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10015;f__GCA-002753745;g__JAAXVU01;s__,97.1830985915493
77,bulkbins-MOSAIC-MIME-BINNING-2403_bin-067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,36.619718309859145
78,bulkbins-MOSAIC-MIME-BINNING-2303_bin-058,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,100.0
79,bulkbins-MOSAIC-MIME-BINNING-3403_bin-86,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_483,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SP4260;s__,71.83098591549296
80,bulkbins-MOSAIC-MIME-BINNING-2303_bin-148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,81.69014084507042
81,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-691,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_483,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SP4260;s__,88.73239436619718
82,bulkbins-MOSAIC-MIME-BINNING-1403_bin-104,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,91.54929577464787
83,SRR10912896.14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,26.76056338028169
84,bulkbins-MOSAIC-MIME-BINNING-17_bin-81,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__,66.19718309859155
85,MOSAIC-MIME-BINNING-2903_bin-001,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_121,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Tepidiformales;f__Tepidiformaceae;g__;s__,50.70422535211269
