members,K00626,K01848,K01849,K05606,K14534,K15016,K15019,K15020,M00375
ERR5005153.30,0,0,0,0,0,2,1,0,0.14285714285714285
ERR5005153.6,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5005971.14,2,0,0,0,0,0,0,0,0.07142857142857142
ERR5005971.23,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5006073.11,0,2,0,0,0,0,0,0,0.03571428571428571
ERR5006073.14,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5006121.5,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5006121.9,2,0,0,0,0,0,0,0,0.07142857142857142
ERR5006261.7,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5006649.13,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5007764.19,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5007766.14,0,0,0,2,0,0,0,0,0.07142857142857142
ERR5007766.4,0,0,2,2,0,0,0,0,0.10714285714285714
ERR594289.23,2,0,0,0,0,0,0,0,0.07142857142857142
ERR594289.24,2,0,0,0,0,0,0,0,0.07142857142857142
ERR594289.28,0,0,0,2,0,0,0,0,0.07142857142857142
ERR594289.32,4,0,0,0,0,0,0,0,0.07142857142857142
ERR594289.43,4,0,0,0,0,0,0,0,0.07142857142857142
ERR594302.15,2,0,0,0,0,0,0,0,0.07142857142857142
ERR594302.63,0,0,2,0,0,0,0,0,0.03571428571428571
ERR594302.72,2,0,0,0,0,0,0,0,0.07142857142857142
ERR594302.74,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599000.3,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599000.35,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599000.40,0,0,0,0,0,0,0,7,0.07142857142857142
ERR599000.55,4,0,0,0,0,0,0,0,0.07142857142857142
ERR599000.56,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599000.68,4,0,0,0,0,0,0,0,0.07142857142857142
ERR599000.92,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599008.49,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599008.59,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599008.76,0,0,0,7,0,0,0,0,0.07142857142857142
ERR599008.79,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599008.81,0,0,0,0,0,0,0,7,0.07142857142857142
ERR599125.6,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599159.12,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599159.3,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599159.46,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599159.50,0,0,0,0,0,0,0,7,0.07142857142857142
ERR599166.107,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599166.20,2,0,0,0,0,0,0,0,0.07142857142857142
ERR599166.3,9,0,0,0,0,0,0,0,0.07142857142857142
ERR599166.50,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599166.79,0,0,0,2,0,0,0,0,0.07142857142857142
ERR599166.82,0,0,0,0,0,0,0,7,0.07142857142857142
ERR599166.89,2,0,0,0,0,0,0,0,0.07142857142857142
ERR868495.40,0,0,0,2,0,0,0,0,0.07142857142857142
ERR868495.42,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-016,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-028,2,0,2,2,0,0,0,0,0.17857142857142858
MOSAIC-MIME-BINNING-2103_bin-034,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-071,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-082,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-083,7,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-092,4,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-102,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-115,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2103_bin-123,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2203_bin-12,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-17,6,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-49,6,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-51,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-52,4,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-58,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-66,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2203_bin-68,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-001,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-016,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-018,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-028,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-034,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-082,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-087,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-123,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-153,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-169,7,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-194,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2303_bin-195,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-008,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-011,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2403_bin-017,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-024,0,2,0,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2403_bin-027,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-030,7,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-039,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-055,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-062,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2403_bin-099,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-007,2,0,0,0,7,0,0,0,0.14285714285714285
MOSAIC-MIME-BINNING-2503_bin-008,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-030,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-038,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2503_bin-039,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-060,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-069,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-073,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-076,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-078,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-082,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-086,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2503_bin-139,2,0,0,2,0,0,0,0,0.14285714285714285
MOSAIC-MIME-BINNING-25_bin-10,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-25_bin-32,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-25_bin-69,0,2,0,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2603_bin-001,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-012,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-037,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2603_bin-043,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-066,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2603_bin-069,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2603_bin-079,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-080,7,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-081,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2603_bin-099,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2703_bin-06,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2703_bin-20,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2703_bin-23,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2703_bin-53,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2703_bin-64,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2703_bin-72,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-008,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-028,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-040,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-070,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-085,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-086,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-091,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-094,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2803_bin-111,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-116,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2803_bin-121,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2803_bin-122,0,0,2,0,0,0,0,0,0.03571428571428571
MOSAIC-MIME-BINNING-2803_bin-127,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2903_bin-007,0,0,0,2,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2903_bin-031,2,0,2,0,0,0,0,0,0.10714285714285714
MOSAIC-MIME-BINNING-2903_bin-047,11,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2903_bin-064,2,0,0,0,0,0,0,0,0.07142857142857142
MOSAIC-MIME-BINNING-2903_bin-074,0,0,0,0,0,2,0,0,0.07142857142857142
