members,K00024,K00169,K00170,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14534,K15016,M00374
ERR3589558.18,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589558.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589558.35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589558.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589558.42,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589558.44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589558.55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589558.63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589558.69,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589558.73,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589558.77,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589558.81,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589558.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.07692307692307693
ERR3589559.100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.102,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.15384615384615385
ERR3589559.104,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589559.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589559.17,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.27,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589559.31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589559.34,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.35,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.42,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589559.47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589559.52,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589559.6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589559.66,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589559.70,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589559.74,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0.11538461538461539
ERR3589559.87,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589560.10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589560.20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589560.33,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589561.18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.0
ERR3589561.2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589561.30,0,0,0,0,3,3,0,2,0,0,0,0,3,0,0,0,0.15384615384615385
ERR3589561.36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589561.48,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0.23076923076923078
ERR3589561.62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589561.66,0,0,0,0,3,3,3,0,2,0,0,0,0,0,0,0,0.11538461538461539
ERR3589561.67,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589561.71,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589561.89,3,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0.23076923076923078
ERR3589562.12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589562.13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589562.15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589562.8,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589563.10,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.11538461538461539
ERR3589563.32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0.15384615384615385
ERR3589563.4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589563.50,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589563.53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589563.54,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589563.55,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589563.84,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589563.88,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589563.92,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589565.24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589565.28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589565.3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589565.36,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589566.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589566.2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589566.27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589566.31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589566.36,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.23076923076923078
ERR3589566.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589566.38,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589566.52,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589566.55,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589566.75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589567.12,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.15384615384615385
ERR3589567.19,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589567.27,3,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0.19230769230769232
ERR3589567.39,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589567.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589567.66,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589567.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589567.72,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589567.99,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589569.24,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589569.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.07692307692307693
ERR3589569.5,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589570.15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589570.21,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589570.26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589570.4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589570.42,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589570.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589570.57,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589570.59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589570.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589570.66,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589570.7,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589570.78,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589570.88,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589570.93,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589571.10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589571.18,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589571.21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589571.31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589571.33,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589571.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589571.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.07692307692307693
ERR3589571.43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589571.6,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589571.62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589571.63,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589571.65,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589571.69,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589571.74,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589571.81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589572.10,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.15384615384615385
ERR3589572.16,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589572.19,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589572.3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589572.36,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589572.43,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589572.50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589572.58,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589572.61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589572.7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589572.70,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589572.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.07692307692307693
ERR3589573.11,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589573.18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589573.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.07692307692307693
ERR3589573.49,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589573.59,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0.11538461538461539
ERR3589573.6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589573.61,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589574.14,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0.19230769230769232
ERR3589574.20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589574.23,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589574.30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589574.41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589574.45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589574.54,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589574.59,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589574.70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589574.88,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589575.11,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589575.16,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.11538461538461539
ERR3589575.32,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589575.35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589575.41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589575.54,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589575.58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589576.15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589576.33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589576.57,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589576.69,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589576.84,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589576.85,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589577.10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589577.18,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589577.4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589577.9,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589578.100,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589578.41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589578.48,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589578.67,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589578.74,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.81,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589578.83,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.84,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589578.85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589578.98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589579.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589579.34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589579.35,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589579.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.07692307692307693
ERR3589579.41,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589579.51,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589579.52,3,0,0,0,3,6,0,0,0,0,0,0,3,0,0,0,0.15384615384615385
ERR3589579.58,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589579.6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589579.68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589579.70,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589580.17,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0.11538461538461539
ERR3589580.24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589580.37,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589580.50,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.15384615384615385
ERR3589580.54,3,0,0,0,3,3,3,2,0,0,0,0,3,0,0,0,0.23076923076923078
ERR3589580.56,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589581.14,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0.15384615384615385
ERR3589581.21,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589581.44,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589581.49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589581.57,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.15384615384615385
ERR3589581.58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589581.65,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589581.68,3,0,0,0,3,3,3,2,0,0,0,0,3,0,0,0,0.23076923076923078
ERR3589585.12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589585.19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589585.3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0.07692307692307693
ERR3589585.30,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0.15384615384615385
ERR3589585.38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589585.49,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589585.57,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589585.63,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
ERR3589585.68,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589586.13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.038461538461538464
ERR3589586.17,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589586.27,0,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0.11538461538461539
ERR3589587.15,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589587.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589587.26,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.07692307692307693
ERR3589587.36,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0.0
ERR3589587.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.07692307692307693
ERR3589587.43,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0.07692307692307693
ERR3589587.59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.038461538461538464
ERR3589588.23,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.038461538461538464
ERR3589588.24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.15384615384615385
ERR3589588.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
ERR3589588.26,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.11538461538461539
