members,K00239,K00240,K00241,K01679,K01847,K01848,K01849,K01961,K01962,K01963,K02160,K05606,M00376
ERR3589563.54,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589563.55,0,0,0,0,0,0,0,1,1,0,1,0,0.08333333333333333
ERR3589563.66,0,0,0,0,1,0,0,1,0,0,1,0,0.16666666666666666
ERR3589563.84,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589563.88,0,3,0,2,0,0,0,0,0,0,0,0,0.14814814814814814
ERR3589565.17,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
ERR3589565.25,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589565.3,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589565.36,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589566.16,0,0,0,0,1,0,0,0,0,0,1,2,0.25
ERR3589566.36,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589566.38,0,3,0,2,0,0,0,0,0,0,0,0,0.14814814814814814
ERR3589566.48,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589566.52,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589566.55,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589566.58,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589567.1,0,0,0,0,0,2,0,0,0,0,0,0,0.05555555555555555
ERR3589567.12,0,0,0,2,0,0,0,1,0,0,1,2,0.2777777777777778
ERR3589567.19,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589567.27,3,3,0,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589567.29,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589567.35,0,0,0,0,0,2,0,0,0,0,0,0,0.05555555555555555
ERR3589567.38,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589567.39,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589567.52,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR3589567.56,0,0,0,0,0,0,0,0,0,1,0,2,0.1388888888888889
ERR3589567.58,0,0,0,0,0,0,0,0,1,1,0,0,0.05555555555555555
ERR3589567.63,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589567.66,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589567.67,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589567.69,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589567.74,0,0,0,2,0,0,0,0,0,1,1,0,0.16666666666666666
ERR3589567.97,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589567.99,0,1,0,0,0,0,0,0,1,0,0,0,0.06481481481481481
ERR3589569.24,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589569.29,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589569.34,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589569.5,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589570.21,0,1,0,0,0,0,0,0,1,0,0,0,0.06481481481481481
ERR3589570.27,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589570.42,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589570.5,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589570.57,3,3,0,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589570.65,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589570.66,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589570.7,3,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589570.86,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589570.89,0,0,0,0,0,2,0,0,0,0,0,0,0.05555555555555555
ERR3589570.93,0,0,0,0,0,0,0,1,1,0,0,0,0.05555555555555555
ERR3589571.10,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589571.18,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
ERR3589571.21,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589571.23,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589571.33,0,0,0,0,0,0,0,0,0,0,0,4,0.1111111111111111
ERR3589571.35,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589571.42,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589571.49,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589571.6,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589571.63,0,0,0,2,0,0,0,1,0,1,1,0,0.19444444444444445
ERR3589571.65,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589571.74,3,0,3,0,0,0,0,0,0,0,1,0,0.10185185185185185
ERR3589571.76,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589572.10,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589572.14,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589572.16,3,0,3,2,0,0,0,0,7,0,0,0,0.21296296296296294
ERR3589572.17,0,0,0,0,0,0,0,0,1,0,0,2,0.1388888888888889
ERR3589572.19,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589572.27,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589572.3,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589572.36,0,3,3,2,0,0,0,1,0,0,0,0,0.21296296296296294
ERR3589572.37,0,0,0,0,0,0,0,0,0,7,0,0,0.027777777777777776
ERR3589572.41,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589572.43,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
ERR3589572.44,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589572.45,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589572.50,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589572.51,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589572.58,0,3,0,0,0,0,0,1,0,1,1,0,0.12037037037037036
ERR3589572.60,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589572.61,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589572.68,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589572.7,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589572.70,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589572.71,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589573.11,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589573.15,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589573.18,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589573.24,0,0,0,0,0,0,0,0,0,1,1,2,0.16666666666666666
ERR3589573.4,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589573.43,0,0,0,0,0,0,0,0,0,7,0,0,0.027777777777777776
ERR3589573.49,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589573.58,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589573.59,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589573.6,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589573.63,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589573.68,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589573.73,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589574.1,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589574.12,0,0,0,0,0,0,2,0,0,0,0,0,0.05555555555555555
ERR3589574.14,0,0,0,2,0,0,0,0,0,0,0,2,0.2222222222222222
ERR3589574.20,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589574.23,3,0,3,2,0,0,0,0,7,0,0,0,0.21296296296296294
ERR3589574.31,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589574.33,0,0,0,0,0,0,0,0,1,1,0,0,0.05555555555555555
ERR3589574.41,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589574.43,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589574.45,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589574.51,0,0,0,0,0,0,0,0,0,7,0,0,0.027777777777777776
ERR3589574.54,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589574.57,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589574.59,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589574.70,0,0,0,0,0,0,2,0,0,0,0,2,0.16666666666666666
ERR3589574.81,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589574.88,3,3,0,0,0,0,0,1,0,0,1,0,0.12962962962962962
ERR3589575.11,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589575.16,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589575.21,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589575.32,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589575.35,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589575.41,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589575.65,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589576.15,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589576.19,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589576.52,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589576.57,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589576.69,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589576.83,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589576.84,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589576.85,0,0,3,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589576.90,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589577.10,0,0,0,0,1,0,0,0,0,1,1,0,0.16666666666666666
ERR3589577.18,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589577.5,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589577.9,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589578.29,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589578.4,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589578.41,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589578.5,0,0,0,0,0,2,2,0,0,0,0,0,0.1111111111111111
ERR3589578.53,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589578.57,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589578.70,0,0,0,0,0,0,0,1,0,0,1,2,0.16666666666666666
ERR3589578.81,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589578.98,0,0,0,0,0,0,0,0,1,1,0,0,0.05555555555555555
ERR3589579.41,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589579.48,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589579.49,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589579.51,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589579.52,3,6,0,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589579.6,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589579.60,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589579.7,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589579.70,0,0,0,0,1,0,0,0,0,1,1,0,0.16666666666666666
ERR3589580.17,0,3,0,0,0,0,0,0,1,0,0,0,0.06481481481481481
ERR3589580.18,0,0,0,0,0,0,0,0,7,0,0,0,0.027777777777777776
ERR3589580.37,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589580.54,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589580.56,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589581.14,0,0,0,2,0,0,0,1,0,0,0,2,0.25
ERR3589581.2,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589581.21,0,0,3,0,0,0,0,0,0,1,0,0,0.06481481481481481
ERR3589581.32,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589581.33,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589581.44,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589581.57,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589581.58,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
ERR3589581.65,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589581.68,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589585.14,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589585.20,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111
ERR3589585.3,3,3,0,0,0,0,0,0,0,0,0,0,0.07407407407407407
ERR3589585.38,0,3,0,2,0,0,0,0,0,0,0,0,0.14814814814814814
ERR3589585.45,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589585.5,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589585.63,0,3,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
ERR3589585.66,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589585.77,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589585.83,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR3589586.17,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589586.20,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589586.27,3,3,3,0,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589586.3,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589587.15,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589587.26,0,0,0,0,0,0,0,7,0,0,7,0,0.05555555555555555
ERR3589587.36,0,3,3,0,0,0,0,1,0,0,1,0,0.12962962962962962
ERR3589587.4,0,0,0,0,0,0,0,7,0,0,1,0,0.05555555555555555
ERR3589587.43,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589588.23,3,0,3,0,0,0,0,0,1,0,0,0,0.10185185185185185
ERR3589588.24,0,0,0,0,0,0,0,0,1,0,0,0,0.027777777777777776
ERR3589588.26,0,0,0,2,0,0,0,1,0,0,0,0,0.1388888888888889
ERR3589588.27,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR3589588.30,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589588.7,0,0,0,2,0,0,0,0,0,0,0,0,0.1111111111111111
ERR3589589.2,3,0,3,0,0,0,0,0,1,0,0,0,0.10185185185185185
ERR3589589.3,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR3589590.12,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589590.13,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589590.16,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR3589590.21,3,3,3,0,0,0,0,0,1,0,0,0,0.1388888888888889
ERR3589590.3,3,0,3,0,0,0,0,0,1,0,0,2,0.21296296296296294
ERR3589590.32,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR3589590.4,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
ERR3589590.6,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR4691603.13,3,3,3,0,0,0,0,1,0,0,1,0,0.16666666666666666
ERR4691603.4,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR4691614.30,0,0,0,0,0,0,0,0,0,0,1,0,0.027777777777777776
ERR4691614.35,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR4691614.53,0,0,0,0,0,0,0,0,0,0,0,2,0.1111111111111111
ERR4691614.54,0,0,0,0,1,0,0,1,0,0,1,0,0.16666666666666666
ERR4691615.32,0,0,0,0,0,0,0,1,0,0,1,0,0.05555555555555555
ERR4691615.35,0,0,0,0,0,0,0,0,0,1,0,0,0.027777777777777776
ERR4691622.10,0,0,0,0,1,0,0,0,0,1,1,2,0.2777777777777778
