members,K00024,K00169,K00170,K00172,K00174,K00175,K00176,K00177,K01677,K01678,K01902,K01903,K01959,K01960,M00620
ERR3589567.58,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589567.66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589567.67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589567.74,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589567.99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589569.24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589570.15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589570.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589570.26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589570.4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589570.57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589570.59,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0.14285714285714285
ERR3589570.6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589570.7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589570.85,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589570.88,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0.10714285714285714
ERR3589571.10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589571.14,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589571.18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589571.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589571.43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589571.6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589571.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589571.69,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589571.81,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589572.10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589572.16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589572.19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589572.30,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14285714285714285
ERR3589572.36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589572.43,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589572.50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589572.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589572.70,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589573.11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589573.25,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589573.59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589574.12,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589574.14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589574.20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589574.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589574.33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589574.45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589574.54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589574.59,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589574.70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589574.81,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589574.9,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589575.16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589575.32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589575.35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589575.54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589575.58,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589576.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589576.33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589576.69,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589577.10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589577.18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589577.9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589578.100,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589578.34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589578.45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589578.67,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589578.80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589578.84,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589578.85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589579.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589579.41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589579.49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589579.51,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589579.52,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589579.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589579.68,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589579.70,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589580.17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589580.50,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589580.54,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589581.14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589581.49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589581.51,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.14285714285714285
ERR3589581.57,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589581.58,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589581.68,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR3589585.12,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0.10714285714285714
ERR3589585.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589585.49,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589585.56,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR3589585.57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589585.66,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589585.68,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589586.13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589586.17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589587.18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589587.19,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR3589587.26,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589587.43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589587.59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589588.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589588.26,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0.21428571428571427
ERR3589588.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589588.35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589589.2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR3589589.3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR3589589.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR3589590.4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR3589590.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691603.13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691603.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691614.34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691615.17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4691615.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691615.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691622.10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4691622.30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4691622.33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4691627.35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691638.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691639.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691646.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07142857142857142
ERR4691668.15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691668.16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR4691668.17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691668.45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691668.54,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691668.60,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0.17857142857142858
ERR4691681.23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4691681.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691681.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07142857142857142
ERR4691681.39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691681.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691685.6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691694.13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691694.28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4691694.40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691694.61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691694.66,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR4691694.67,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691695.14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691695.38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4691695.41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4691695.65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918854.11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918854.3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918854.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918854.34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918854.51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918854.52,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918854.57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918854.74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918855.14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918855.42,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0.2857142857142857
ERR4918855.48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918855.72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918855.73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918855.74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918855.78,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918855.91,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918856.10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918856.24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918856.26,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918856.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918857.28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918857.35,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918857.44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918857.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918857.52,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0.14285714285714285
ERR4918857.63,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918857.77,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR4918857.84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918857.93,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918858.101,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918858.112,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0.2857142857142857
ERR4918858.16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918858.27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918858.28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918858.34,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918858.39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918858.67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918858.8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918858.82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918858.92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918859.7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918860.15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918860.32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918860.39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918860.44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918861.4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918861.41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918861.71,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR4918861.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918862.20,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918862.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918862.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918862.34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918862.66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR4918863.11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918863.15,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918863.39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918864.101,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0.07142857142857142
ERR4918864.13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.14285714285714285
ERR4918864.26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918864.30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.03571428571428571
ERR4918864.31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918864.49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918864.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR4918864.72,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR4918864.8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR5001722.19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR5001722.8,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0.2857142857142857
ERR5005153.1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR5005153.10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5005971.1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5005971.30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR5005971.9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0.21428571428571427
ERR5006073.11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5006121.10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5006121.20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR5006264.22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.03571428571428571
ERR5006649.8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.07142857142857142
ERR5007764.1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5007764.13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.03571428571428571
ERR5007764.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR5007764.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
ERR5007766.11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.07142857142857142
ERR5007766.4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0.10714285714285714
ERR594289.16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.07142857142857142
ERR594289.43,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0.14285714285714285
