members,K00297,K01491,K01938,K15022,M00377
MOSAIC-MIME-BINNING-2303_bin-169,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-175,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2303_bin-186,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2303_bin-lowDepth,0,0,0,7,0.0
MOSAIC-MIME-BINNING-2403_bin-027,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-2403_bin-034,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2403_bin-045,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2403_bin-051,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2403_bin-062,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2403_bin-086,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-008,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-011,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-027,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-028,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-039,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-049,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-056,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-060,1,0,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-2503_bin-067,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-073,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-082,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-083,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-090,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-101,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-115,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-2503_bin-125,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2503_bin-134,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-25_bin-10,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-25_bin-22,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-25_bin-46,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-25_bin-69,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-25_bin-78,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-001,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-008,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-011,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-028,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-037,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-049,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2603_bin-053,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2603_bin-066,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-01,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-2703_bin-04,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-14,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-16,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-20,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-27,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-28,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-38,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-41,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-56,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2703_bin-79,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-008,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-009,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-011,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-013,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-027,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-028,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-030,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-042,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-043,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-054,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-2803_bin-061,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-062,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-068,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-085,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-094,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-123,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-130,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2803_bin-135,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-136,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2803_bin-139,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-010,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-011,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-078,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-079,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-085,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-086,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-103,0,0,0,1,0.0
MOSAIC-MIME-BINNING-2903_bin-108,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-2903_bin-151,2,0,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-3003_bin-06,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3003_bin-07,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3003_bin-17,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-3103_bin-12,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3103_bin-19,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3103_bin-36,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3103_bin-45,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-004,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-048,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-049,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-052,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-053,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-057,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-075,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-078,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-31_bin-104,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3203_bin-06,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3303_bin-29,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3303_bin-34,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3303_bin-44,0,1,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-3303_bin-57,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3303_bin-68,0,0,0,1,0.0
MOSAIC-MIME-BINNING-3303_bin-84,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3403_bin-22,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-3403_bin-51,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-45_bin-53,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-45_bin-60,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-45_bin-87,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-603_bin-006,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-603_bin-059,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-603_bin-082,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-703_bin-004,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-703_bin-048,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-703_bin-058,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-703_bin-064,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-703_bin-100,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-803_bin-27,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-803_bin-53,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-803_bin-66,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-003,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-008,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-016,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-064,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-068,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-077,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-903_bin-078,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-031,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-032,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-036,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-067,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-075,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-097,0,1,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-ClusterAss-1_bin-144,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-159,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-225,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-227,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-262,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-326,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-358,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-392,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-396,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-440,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-466,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-487,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-535,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-576,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-619,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-692,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-693,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-780,0,1,0,0,0.1111111111111111
